doi,title
10.1007/s00500-019-04000-8,Clustering-based heterogeneous optimized-HEED protocols for WSNs
10.1016/j.ins.2019.03.024,Efficient registration of multi-view point sets by K-means clustering
10.1117/1.JEI.21.1.013022,Adaptive method for hiding data in images
10.1007/978-3-319-54427-4_43,Level Set Segmentation of Brain Matter Using a Trans-Roto-Scale Invariant High Dimensional Feature
10.1109/TSIPN.2015.2476695,No-Reference Transmission Distortion Modelling for H.264/AVC-Coded Video
10.1109/TCC.2015.2511727,Energy-Efficient Task Execution for Application as a General Topology in Mobile Cloud Computing
10.1287/isre.14.3.221.16560,Generalizing Generalizability in Information Systems Research
10.1108/IR-11-2018-0240,An approach for learning from robots using formal languages and automata
10.1109/TIP.2013.2257810,Parameter Estimation for Blind and Non-Blind Deblurring Using Residual Whiteness Measures
10.1186/s13321-018-0260-4,Maximizing gain in high-throughput screening using conformal prediction
10.1007/978-3-642-18381-2_43,Minimizing interference for the highway model in wireless ad-hoc and sensor networks
10.1109/TIT.2013.2287507,Multiple-Antenna Fading Channels With Arbitrary Inputs: Characterization and Optimization of the Information Rate
10.1016/j.scico.2004.02.005,A Java-based approach for teaching principles of adaptive and evolvable software
10.1109/ICST.2009.48,PKorat: Parallel Generation of Structurally Complex Test Inputs
10.1049/iet-wss.2016.0090,Evolving attackers against wireless sensor networks using genetic programming
10.1016/j.infsof.2016.12.001,Visualizing and exploring software version control repositories using interactive tag clouds over formal concept lattices
10.1186/s13677-015-0045-5,Implementation and performance analysis of various VM placement strategies in CloudSim
10.1145/1531743.1531749,Space-and-time efficient garbage collectors for parallel systems
10.1109/fpl.2018.00020,Automatic BRAM Testing for Robust Dynamic Voltage Scaling for FPGAs
10.1109/ICCD.2010.5647648,Efficient test response compaction for robust BIST using parity sequences
10.1016/j.jpdc.2007.06.010,Distributed clustering algorithms for data-gathering in wireless mobile sensor networks
10.1017/S1471068405002607,"Computing minimal models, stable models and answer sets"
10.1007/s00500-016-2284-x,An empirical study of some software fault prediction techniques for the number of faults prediction
10.1109/icccnt.2018.8493971,SIFRS: Spoof Invariant Facial Recognition System (A Helping Hand for Visual Impaired People)
10.1109/TGRS.2013.2273798,Semisupervised Dual-Geometric Subspace Projection for Dimensionality Reduction of Hyperspectral Image Data
10.1155/S1110865704309236,Gait recognition using image self-similarity
10.1109/TWC.2014.2379279,Quantizer Design for Distributed GLRT Detection of Weak Signal in Wireless Sensor Networks
10.1007/s10994-007-5024-8,A formal framework and extensions for function approximation in learning classifier systems
10.1016/j.joi.2017.08.007,bibliometrix: An R-tool for comprehensive science mapping analysis
10.1109/TCSVT.2011.2159430,Decomposition of Dynamic Textures Using Morphological Component Analysis
10.1016/j.neucom.2010.09.008,Local Kernel Feature Analysis (LKFA) for object recognition
10.1109/MobileCloud.2015.22,Avatar: Mobile Distributed Computing in the Cloud
10.1109/TITS.2017.2738446,Event-Triggered Control for String-Stable Vehicle Platooning
10.1016/j.imavis.2010.08.005,A spatial variant approach for vergence control in complex scenes
10.1016/j.adhoc.2016.09.009,Spectrum sharing methods for the coexistence of multiple RF systems: A survey
10.1016/j.knosys.2013.06.001,Efficient gradient descent algorithm for sparse models with application in learning-to-rank
10.1109/JSAC.2016.2624098,Balanced Dynamic Planning in Green Heterogeneous Cellular Networks
10.3233/IFS-130906,A particular simplex algorithm to solve fuzzy lexicographic multi-objective linear programming problems and their sensitivity analysis on the priority of the fuzzy objective functions
10.1109/icip.2018.8451806,Video Object Co-Segmentation from Noisy Videos by a Multi-Level Hypergraph Model
10.1145/2835374,"A Survey on Energy Efficiency in P2P Systems: File Distribution, Content Streaming, and Epidemics"
10.1007/s10796-011-9307-z,Knowledge-based clinical pathway for medical quality improvement
10.1109/ISMAR.2011.6092378,KinectFusion: Real-time dense surface mapping and tracking
10.1109/ICICS.2013.6782870,Novel channel covariance matrix feedback strategy in coordinated multicell MISO networks
10.1007/978-3-662-53426-7_7,Asynchronous Embedded Pattern Formation Without Orientation
10.1016/j.specom.2005.08.003,Modeling spontaneous speech variability in professional dictation
10.1016/j.amc.2005.11.136,An immune algorithm approach to hybrid flow shops scheduling with sequence-dependent setup times
10.1145/1088149.1088196,Parallel sparse LU factorization on second-class message passing platforms
10.1166/jolpe.2009.1010,Adaptive Global Elimination Algorithm for Low Power Motion Estimation
10.1016/j.entcs.2010.04.012,Optimizing Conditional Logic Reasoning within CoLoSS
10.2298/csis110303059g,A model-based software development method for automotive cyber-physical systems
10.1007/s11390-019-1950-8,SRNET: A Shallow Skip Connection Based Convolutional Neural Network Design for Resolving Singularities
10.1016/j.patcog.2015.04.020,Multilabel predictions with sets of probabilities
10.1007/978-3-540-76811-1_4,DERAF: a high-level aspects framework for distributed embedded real-time systems design
10.1109/TIE.2009.2038402,Data-Aided Timing Synchronization for FM-DCSK UWB Communication Systems
10.1109/ICCCN.2019.8847035,A Data Distribution Service in a Hierarchical SDN Architecture: Implementation and Evaluation
10.1109/bdcloud.2018.00133,Web Service Recommendation Based on Word Embedding and Topic Model
10.4018/IJEGR.2016070104,"Trust in People, Organizations, and Government: A Generic Model"
10.1016/j.patrec.2005.07.022,Improving image segmentation quality through effective region merging using a hierarchical social metaheuristic
10.1145/2700408,Querying Discriminative and Representative Samples for Batch Mode Active Learning
10.3390/info8040126,A Novel Grey Prediction Model Combining Markov Chain with Functional-Link Net and Its Application to Foreign Tourist Forecasting
10.1007/978-3-540-24756-2_17,Specification and Verification of Synchronizing Concurrent Objects
10.1145/329.318579,Database states and their tableaux
10.1016/j.neucom.2008.04.024,Fusion of feature selection methods for pairwise scoring SVM
10.1016/j.cageo.2016.03.009,Improving in situ data acquisition using training images and a Bayesian mixture model
10.1007/s00779-006-0063-x,Capturing the effects of context on human performance in mobile computing systems
10.1109/TNET.2016.2619743,Online Auctions in IaaS Clouds: Welfare and Profit Maximization With Server Costs
10.1145/2683405.2683433,Characterisation of the Discriminative Properties of the Radial Tchebichef Moments for Hand-written Digits
10.1007/3-540-45498-5_10,Platypus: Design and Implementation of a Flexible High Performance Object Store
10.1109/DATE.2011.5763143,Composing heterogeneous components for system-wide performance analysis
10.1145/2450142.2450147,Asynchronous gossip
10.1109/TMC.2014.2354031,Minimum Energy Routing and Jamming to Thwart Wireless Network Eavesdroppers
10.1007/s10766-015-0363-8,Automatic Generation of Unit Tests for Correlated Variables in Parallel Programs
10.1109/CEC.2019.8789959,Multifactorial Evolutionary Algorithm Enhanced with Cross-task Search Direction
10.1109/ISPACS.2018.8923407,Mutual-Information-Graph Regularized Sparse Transform for Unsupervised Feature Learning
10.1109/TWC.2012.071612.111936,Noncoherent Bit-Interleaved Coded OSTBC-OFDM with Maximum Spatial-Frequency Diversity
10.1007/s11036-015-0577-4,An Intersection-based QoS Routing in Vehicular Ad Hoc Networks
10.1007/978-3-319-41576-5_5,Secure Similarity Queries: Enabling Precision Medicine with Privacy
10.1109/JSSC.2011.2109440,A Large $sigma $ V $_{m TH}$ /VDD Tolerant Zigzag 8T SRAM With Area-Efficient Decoupled Differential Sensing and Fast Write-Back Scheme
10.1109/ASPDAC.2013.6509637,Symmetrical buffered clock-tree synthesis with supply-voltage alignment
10.2168/LMCS-5(4:6)2009,Observational Equivalence and Full Abstraction in the Symmetric Interaction Combinators
10.1007/978-3-642-32928-9_16,Universally composable security with local adversaries
10.1109/icra.2017.7989514,Real-time visual tracking via robust Kernelized Correlation Filter
10.1007/3-540-48153-2_29,Bisimulation and Model Checking
10.1145/2254129.2254214,Using Bayesian networks theory for aggregated search to XML retrieval
10.1145/3290605.3300336,`I make up a silly name': Understanding Children's Perception of Privacy Risks Online
10.1007/s11042-019-08332-3,An improved residual network model for image recognition using a combination of snapshot ensembles and the cutout technique
10.1145/2614348.2614372,Shape smoothing with feature preserving weighted filters
10.1007/978-3-540-28640-0_27,Ensembles of Classifiers for Handwritten Word Recognition Specialized on Individual Handwriting Style
10.1093/nar/gku1204,The BioGRID interaction database: 2015 update
10.1016/j.eswa.2018.06.032,Forecasting stock market crisis events using deep and statistical machine learning techniques
