name,number,method,rank,title,doi,year
dewa,1,rrf_llm_pure ,1,Automatically Recognizing Facial Indicators of Frustration: A Learning-centric Analysis,,2013
dewa,1,rrf_llm_pure ,2,Detection and assistance to students who show frustration in learning of algorithms,,2013
dewa,1,rrf_llm_pure ,3,"Sequences of Frustration and Confusion, and Learning.",,2013
dewa,1,rrf_llm_pure ,4,Personalized Affective Feedback to Address Students’ Frustration in ITS,,2019
dewa,1,rrf_llm_pure ,5,"More confusion and frustration, better learning: The impact of erroneous examples",,2019
dewa,1,rrf_llm_pure ,6,Patterns in Poor Learning Engagement in Students While They Are Solving Mathematics Exercises in an Affective Tutoring System Related to Frustration,,2018
dewa,1,rrf_llm_pure ,7,Engaged or Frustrated?: Disambiguating engagement and frustration in search,,2016
dewa,1,rrf_llm_pure ,8,Acted vs. natural frustration and delight: Many people smile in natural frustration,,2011
dewa,1,rrf_llm_pure ,9,The impact of frustration-mitigating messages delivered by an interface agent,,2005
dewa,1,rrf_llm_pure ,10,Early Prediction of Student Frustration,,2007
dewa,1,rrf_llm_pure ,11,Automatically Recognizing Facial Expression: Predicting Engagement and Frustration.,,2013
dewa,1,rrf_llm_pure ,12,Between frustration and elation: sense of control regulates the lntrinsic motivation for motor learning,,2011
dewa,1,rrf_llm_pure ,13,Differentiating in-Game Frustration from at-Game Frustration using Touch Pressure,,2016
dewa,1,rrf_llm_pure ,14,A Theory-Driven Approach to Predict Frustration in an ITS,,2013
dewa,1,rrf_llm_pure ,15,Audiovisual Analysis for Recognising Frustration during Game-Play: Introducing the Multimodal Game Frustration Database,,2019
dewa,2,rrf_llm_pure ,1,Digital Preservation of Cultural Heritage: Balinese Kulkul Artefact and Practices,,2016
dewa,2,rrf_llm_pure ,2,The composition approach non-QWERTY keyboard for Balinese script,,2014
dewa,2,rrf_llm_pure ,3,The Development of an Android-Based Anggah-Ungguhing Balinese Language Dictionary,,2018
dewa,2,rrf_llm_pure ,4,Parametric Balinese rumah: Procedural modeling of traditional Balinese architecture,,2013
dewa,2,rrf_llm_pure ,5,Knowledge Representation and Phonological Rules for the Automatic Transliteration of Balinese Script on Palm Leaf Manuscript,,2018
dewa,2,rrf_llm_pure ,6,Implementation of the String Matching Method on Anggah-Ungguhing Balinese Language Dictionary,,2020
dewa,2,rrf_llm_pure ,7,AMADI_LontarSet: The First Handwritten Balinese Palm Leaf Manuscripts Dataset,,2016
dewa,2,rrf_llm_pure ,8,ICFHR2016 Competition on the Analysis of Handwritten Text in Images of Balinese Palm Leaf Manuscripts,,2016
dewa,2,rrf_llm_pure ,9,Implementation of Tree Structure and Recursive Algorithm for Balinese Traditional Snack Recipe on Android Based Application,,2016
dewa,2,rrf_llm_pure ,10,The Postures and Movements of Balinese Dance,,2017
dewa,2,rrf_llm_pure ,11,A Complete Scheme of Spatially Categorized Glyph Recognition for the Transliteration of Balinese Palm Leaf Manuscripts,,2017
dewa,2,rrf_llm_pure ,12,The Augmented Reality Story Book Project: A Collection of Balinese Miths and Legends,,2015
dewa,2,rrf_llm_pure ,13,A Semantically-Enriched Digital Portal for the Digital Preservation of Cultural Heritage with Community Participation,,2018
dewa,2,rrf_llm_pure ,14,Translating Verbally Communicated Local Geographic Knowledge Using Semantic Technologies: A Balinese Example,,2017
dewa,2,rrf_llm_pure ,15,Training Schemes for the Transliteration of the Balinese Script Into the Latin Script on Palm Leaf Manuscript Images,,2018
